team,adjustPoints,autoPoints,autoOwnershipPoints,autoRunPoints,autoScaleOwnershipSec,endgamePoints,foulPoints,teleopOwnershipPoints,teleopPoints,teleopScaleOwnershipSec,teleopSwitchOwnershipSec,vaultPoints,vaultLevitateTotal,vaultForceTotal,vaultBoostTotal,totalPoints,winningness
900,2.1859787e-09,1.4684385,-1.0286479,2.4971395,-0.34719223,16.568705,6.94102,50.592686,77.56566,13.824118,35.823147,10.405643,1.1133943,0.7013081,0.266576,85.97784,-8.922167
2059,-3.2702824e-10,8.836543,5.149593,3.6869535,0.16495955,10.624095,6.211521,117.5267,143.51785,49.211433,58.225574,15.366953,0.901301,0.56841254,1.6036645,158.56189,65.09102
2642,-2.3516694e-10,13.3818035,8.60153,4.7802606,2.0160813,31.227304,3.0229204,128.1606,178.7295,64.981316,53.49776,19.341389,1.5184882,0.7523073,1.5974668,195.13652,37.929184
2655,8.682302e-11,9.859402,5.5766335,4.2827873,0.016069626,21.866873,7.725956,97.70642,140.43707,27.406893,65.01468,20.8638,1.6523204,1.1549804,1.3654592,158.03056,34.98433
2682,-5.879694e-10,4.94199,0.2415546,4.7004337,-0.13142544,26.751368,21.835352,76.24216,116.54015,36.53949,33.798912,13.546442,1.2915236,0.4491561,0.9685902,143.3252,54.2833
3196,6.686161e-10,4.8936825,-0.48222727,5.3759313,0.11536033,9.726473,12.418874,57.43955,75.490875,15.414387,37.996796,8.325052,0.6748174,0.74101865,0.24919944,92.81458,27.123926
3229,-6.885241e-10,10.928052,5.093026,5.835011,0.83081037,30.633102,5.135571,55.42619,98.02948,20.467052,31.703539,11.969917,1.3167299,0.3833264,0.69390005,114.101555,4.9149866
3336,-4.1349862e-10,5.9621778,1.338258,4.6239166,-0.12560682,6.3613954,1.414883,26.940653,35.227345,14.583415,12.875088,1.9252845,0.22885579,0.10672863,0.049468778,42.61521,18.959856
3402,-1.2118112e-09,0.6010335,0.36649668,0.23450783,-0.27674037,0.63066345,-4.244737,32.132214,35.495018,-20.082003,50.381298,2.7317548,0.02626549,0.16664635,0.35340035,31.84614,-49.79139
3459,-4.24824e-11,6.7122397,1.5432287,5.169005,-0.12693433,11.652635,-0.9874198,90.68743,106.00299,44.165993,44.720543,3.6628945,0.41640365,0.01685079,0.2993251,111.73127,7.5408373
3506,8.673854e-10,4.9906216,-0.52679026,5.5174227,-0.19339937,13.000841,-7.1004095,54.07128,72.71902,26.157068,27.20563,5.6471033,0.78023636,0.060065884,0.2891478,70.6105,-0.4774021
3661,1.2614756e-09,3.9865274,1.0155827,2.97095,0.25035018,11.208848,11.626352,11.123159,30.430805,-11.690889,22.02122,8.098881,0.8491748,0.82098407,-0.05036772,46.04766,-41.029236
3796,-1.7194501e-11,5.7468915,0.703562,5.043333,0.021996923,6.3983207,1.814607,33.61042,42.70399,9.103124,23.670637,2.6952317,0.21866828,0.18634687,0.13403113,50.270203,1.1988279
3822,-6.805602e-11,2.2913454,-1.5802712,3.8716156,-0.03222361,4.8563433,9.708803,49.89094,57.30358,12.125426,36.800484,2.556244,-0.04993221,0.23704943,0.3241259,69.31157,-23.125463
4290,8.9378477e-10,1.842726,-0.36437178,2.207092,0.08539378,20.747568,19.036337,97.32683,127.64001,52.072838,40.463448,9.565566,1.3014727,0.13348165,0.47815162,148.52968,38.576656
4534,-9.2860226e-11,2.9045444,0.12857705,2.7759728,-0.1818116,13.837908,12.0649605,34.470387,50.78744,4.4172983,33.005802,2.479068,0.6930653,-0.110901766,-0.0863542,65.76346,-16.724066
4795,1.5837648e-10,14.026158,8.889273,5.1368904,0.59142864,17.185858,14.122115,73.85321,107.684166,20.362726,46.834106,16.645226,1.1808736,1.0426811,1.1054875,135.84015,-2.6405392
