team,adjustPoints,autoPoints,autoOwnershipPoints,autoRunPoints,autoScaleOwnershipSec,endgamePoints,foulPoints,teleopOwnershipPoints,teleopPoints,teleopScaleOwnershipSec,teleopSwitchOwnershipSec,vaultPoints,vaultLevitateTotal,vaultForceTotal,vaultBoostTotal,totalPoints,winningness
435,2.1285898e-12,6.0510287,1.4366199,4.614413,0.14270815,10.217487,10.703223,42.671577,55.428196,15.643339,26.514938,2.5391476,0.3531175,-0.004254321,0.15896666,72.19872,-0.0014405604
587,-2.4966424e-12,6.648126,1.6426432,5.005469,-0.12806068,14.805429,10.28659,27.448261,48.198418,4.051462,22.858942,5.944741,0.9080337,0.14990705,0.1310076,65.12102,-0.5857117
900,1.6519983e-10,7.0091705,2.660905,4.3482533,0.11155472,21.37553,6.203771,58.4246,91.56824,22.729078,32.931953,11.768163,1.0800871,0.5952707,0.6782773,104.791725,0.017946118
1533,-1.9878814e-11,17.330029,11.503116,5.8269176,0.32886353,23.34069,3.3918252,95.334305,128.06633,39.51407,50.577457,9.391254,0.48450533,0.4399124,0.95383453,148.76617,1.4279608
2059,-8.221762e-12,12.488773,8.537748,3.9510179,0.63063264,16.644213,4.3956547,115.01092,150.26927,51.061462,54.61615,18.614058,1.2730913,0.8965132,1.5532082,167.16171,1.2428993
2642,-8.531041e-12,15.461745,10.983255,4.4784784,2.0563004,30.024256,5.0607023,118.444046,165.35223,59.00407,51.394188,16.883858,1.3545384,0.765643,1.2565904,185.88846,1.5439577
2655,-2.102161e-12,12.318076,7.7322526,4.5858393,0.31910068,19.316013,9.60738,82.329666,120.30649,15.535097,62.52826,18.660778,1.3496224,1.3055421,1.07699,142.20238,1.0709213
2682,-6.2667345e-12,6.5615807,1.8859638,4.6756234,0.065856405,22.235569,22.778404,77.810326,110.33996,35.95418,36.53711,10.294112,0.92574733,0.2787053,0.85436887,139.6636,0.6211403
3196,-5.956102e-12,7.1160417,3.0875442,4.0285025,0.26347756,10.917486,11.262516,65.94344,83.58943,17.575243,45.304512,6.7284923,0.558086,0.350511,0.43710187,101.98146,0.20525783
3229,-1.4327167e-11,8.947804,3.1143568,5.8334537,0.57810324,22.929647,8.228962,46.897858,75.646454,14.6158285,29.79051,5.818944,0.7335918,0.09747358,0.3327227,92.831024,-0.57687044
3459,1.2325886e-12,7.0092683,2.0441134,4.9651494,-0.19122095,15.984777,-1.1037989,80.55342,100.16154,37.279953,41.854893,3.6233096,0.32277092,0.14867492,0.25321496,106.07439,0.49474296
3506,9.959803e-12,6.825074,2.4519658,4.3731136,0.4073209,12.13536,-1.2714934,67.20158,88.47027,29.354101,33.716835,9.133357,0.7304141,0.26931688,0.8269399,94.01632,0.11725486
3737,3.1863774e-12,11.942851,7.6449986,4.297852,0.8425576,26.71559,-4.130514,69.30062,102.21573,31.612867,34.479782,6.1995373,0.6415391,0.3091991,0.28917012,110.03835,0.3729822
4290,-1.8217736e-11,9.624126,5.369493,4.254633,0.1796384,19.354767,6.9991713,95.27874,122.33331,47.803913,44.663742,7.6998725,0.8771174,0.25066933,0.41218898,138.91263,0.85239345
4561,-3.5521354e-12,15.802529,10.6529665,5.1495686,0.43912953,28.965832,9.130603,110.51056,147.55373,46.898125,59.663013,8.077372,0.81254596,0.14998215,0.6529437,172.49782,1.0043615
4795,-7.660929e-12,13.4844885,8.354791,5.129687,0.32642084,21.493395,14.744057,82.31501,121.14854,22.54815,54.143745,17.340048,1.3864089,0.9988546,1.0827464,149.37462,0.28515947
5160,-5.5625873e-12,6.452592,1.8993326,4.553261,-0.16939725,16.368025,12.129912,39.77093,66.77686,7.1021647,31.30146,10.637951,1.0466595,0.5321822,0.54874474,85.37009,-0.3269811
5190,1.0147152e-11,17.940582,12.699555,5.241051,1.7883867,29.66592,9.979401,130.21301,174.28651,60.631836,63.01664,14.407588,1.3931141,0.24375188,1.24465,202.22108,2.245611
5511,1.0039795e-11,5.589061,1.8560468,3.7330103,0.04712022,5.4269466,6.9849663,54.034737,66.217094,15.119877,37.40147,6.755426,0.60460913,0.45393944,0.29253718,78.772026,-0.17900126
5518,6.6682298e-12,5.4192095,2.2019627,3.217247,0.36966625,7.9308248,11.003034,45.445026,58.09341,17.790684,27.34742,4.7176294,0.6694061,-0.018462887,0.2925829,74.50236,0.11586025
6003,2.9587233e-12,4.050179,0.15398863,3.896198,-0.30444276,18.469,6.683542,46.979565,83.34237,14.527858,28.540789,17.893715,1.4160591,0.92827636,1.2344084,94.09472,-0.33814695
6215,-8.80031e-12,6.9807134,1.6847281,5.2959833,-0.08243772,10.251802,3.46669,41.215763,58.59323,11.611674,29.745596,7.125621,0.8288344,0.39265937,0.20363052,69.05287,-0.0801875
6500,-3.1920378e-12,4.562741,1.372508,3.1902313,-0.1512446,13.667186,-1.1728013,58.676903,80.8727,21.922926,33.242905,8.528621,0.9106552,0.28575864,0.5093111,84.244415,-0.3515427
6502,1.3487433e-11,15.623671,10.041083,5.582595,1.302751,15.810109,1.957286,96.948975,126.75596,38.411873,51.856316,13.996834,1.1433,0.63585526,1.020209,144.29517,0.9965731
6565,-7.449375e-12,5.649257,1.3960432,4.2532177,-0.20585832,7.334448,6.9096894,20.92626,32.286175,-8.747149,30.544281,4.0254903,0.47445393,0.43924138,-0.10859913,44.79757,-0.5518455
6729,-1.19193605e-11,5.1908784,0.75632554,4.4345484,0.32732955,12.017877,2.4300966,18.629068,37.4067,2.1496515,15.9391775,6.7597237,0.8714799,0.19359109,0.28687376,45.042492,0.09218088
6888,-1.1778352e-11,6.863642,2.0048323,4.858809,-0.20259756,1.7007047,10.41649,48.028976,53.564713,10.256309,37.294285,3.835045,0.41629064,0.30457464,0.046144865,70.82557,-0.453059
6908,-1.2039088e-12,5.7684555,1.6048386,4.163611,0.21168466,10.66342,3.8746748,78.88578,96.008194,39.41574,35.391148,6.458944,0.76279557,-0.059169658,0.5881625,105.57531,0.52735186
6932,2.6110307e-12,5.9273853,1.3404483,4.5869393,-0.05432638,12.743771,7.556609,44.148464,67.201584,5.8775945,36.342934,10.309367,0.9902273,0.41986862,0.6517753,80.69774,-0.9300999
